"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.023187333E0,3.731719225E1,1.406936916E1,1.367588429E1,4.216099853E1
2.033138333E0,3.646666094E1,1.683504135E1,1.090412398E1,4.161893676E1
2.043090333E0,3.056739103E1,1.723879159E1,5.458897383E0,3.551536134E1
2.053041333E0,2.186683939E1,1.673332085E1,-3.609025754E-2,2.753477790E1
2.062992333E0,1.353898343E1,1.567860009E1,-3.704909858E0,2.104397610E1
2.072942500E0,7.482952012E0,1.435264220E1,-5.488445703E0,1.709139974E1
2.082893500E0,4.126333893E0,1.309967861E1,-4.577340161E0,1.447688689E1
2.092844500E0,2.383151438E0,1.234380670E1,-2.016388344E0,1.273243090E1
2.102795500E0,1.253498610E0,1.196965039E1,3.456370302E-1,1.204006870E1
2.112746500E0,1.198158807E-1,1.202128598E1,2.236745929E0,1.222819303E1
2.122697500E0,-1.305445858E0,1.231214754E1,3.580981631E0,1.288862271E1
2.132649500E0,-3.080167610E0,1.246386992E1,3.945908114E0,1.343151804E1
2.142600500E0,-5.363721085E0,1.269038755E1,3.477562512E0,1.420946449E1
2.152551500E0,-7.520001140E0,1.295265388E1,3.061605039E0,1.528708884E1
2.162502500E0,-9.277251996E0,1.288485658E1,3.022147443E0,1.616231137E1
2.172453500E0,-1.108585661E1,1.264721521E1,2.826128894E0,1.705389322E1
2.182404500E0,-1.295722406E1,1.214299695E1,2.374488788E0,1.791592106E1
2.192355500E0,-1.450538200E1,1.143087858E1,2.049056153E0,1.858143491E1
2.202306500E0,-1.552008909E1,1.066490971E1,1.954539421E0,1.893234504E1
2.212258500E0,-1.601985061E1,9.910859792E0,1.978898336E0,1.894140423E1
2.222209500E0,-1.588069039E1,9.317275017E0,2.178968421E0,1.854065383E1
2.232160500E0,-1.518720827E1,8.725744370E0,2.556579854E0,1.770101722E1
2.242111500E0,-1.440126414E1,8.031013874E0,2.982408596E0,1.675674054E1
2.252062500E0,-1.363727512E1,7.135918593E0,3.151584917E0,1.571079548E1
2.262013500E0,-1.288938350E1,6.283585171E0,3.301319246E0,1.471456280E1
2.271964500E0,-1.175604342E1,5.649084504E0,3.746612785E0,1.357032866E1
2.281915500E0,-1.019308384E1,5.401242667E0,4.464988836E0,1.236966070E1
2.291867500E0,-8.755283918E0,5.904166948E0,5.481841857E0,1.189809960E1
2.301818500E0,-6.971031790E0,7.436878291E0,7.115015967E0,1.243084451E1
2.311769500E0,-4.152162214E0,1.018289799E1,9.627738195E0,1.461592301E1
2.321720500E0,6.857871795E-1,1.366651471E1,1.259339627E1,1.859670826E1
2.331671500E0,8.436676154E0,1.713410304E1,1.505456652E1,2.431861355E1
2.341622500E0,1.695416434E1,1.957657039E1,1.622038438E1,3.055792313E1
2.351573500E0,2.319155183E1,2.077964320E1,1.541347798E1,3.474502771E1
2.361524500E0,2.646688838E1,2.092113646E1,1.427849833E1,3.663421415E1
2.371476500E0,2.897558247E1,1.866740671E1,1.238022316E1,3.662412290E1
2.381427500E0,3.029490143E1,1.531534766E1,9.773383566E0,3.532506126E1
2.391378500E0,3.008424262E1,1.109499347E1,7.095680394E0,3.284066404E1
2.401329500E0,2.816498998E1,6.443337534E0,4.454088457E0,2.923392144E1
2.411280500E0,2.486574064E1,2.249275342E0,1.951731588E0,2.504343334E1
2.421231500E0,2.143350224E1,-1.449257542E0,1.272704959E-2,2.148244697E1
2.431182500E0,1.832302910E1,-4.743509259E0,-1.076708556E0,1.895767857E1
2.441133500E0,1.528334936E1,-7.665734804E0,-1.105224257E0,1.713376136E1
2.451085500E0,1.243419530E1,-1.038634134E1,3.219582188E-1,1.620459676E1
2.461036500E0,9.883655037E0,-1.287195646E1,2.522796396E0,1.642371461E1
2.470987500E0,7.578342319E0,-1.492513256E1,4.167463793E0,1.724988721E1
2.480938500E0,5.544907002E0,-1.652322805E1,4.881836840E0,1.809959640E1
2.490889500E0,3.754990675E0,-1.763973751E1,4.891390021E0,1.868651896E1
2.500840500E0,2.281857197E0,-1.833953111E1,4.330079538E0,1.898143468E1
2.510791500E0,9.032702726E-1,-1.869852091E1,3.444457916E0,1.903457044E1
2.520742500E0,-5.035499328E-1,-1.880494024E1,2.424464940E0,1.896727102E1
2.530694500E0,-1.721533432E0,-1.865436391E1,1.597279222E0,1.880160289E1
2.540645500E0,-2.529620097E0,-1.841589341E1,1.192176009E0,1.862700704E1
2.550596500E0,-3.092159080E0,-1.832759928E1,1.020028206E0,1.861458570E1
2.560547500E0,-3.601579910E0,-1.841814692E1,7.494306866E-1,1.878193707E1
2.570498500E0,-4.224782586E0,-1.854833167E1,3.046937299E-1,1.902583070E1
2.580449500E0,-4.910000539E0,-1.852060417E1,-6.844282866E-2,1.916052110E1
2.590400500E0,-5.335746835E0,-1.835293293E1,-4.256644356E-1,1.911757128E1
2.600351500E0,-5.427718860E0,-1.816868833E1,-7.684480977E-1,1.897766793E1
2.610303500E0,-5.397601022E0,-1.782130759E1,-9.943002375E-1,1.864729830E1
2.620254500E0,-5.278990837E0,-1.726692839E1,-1.176631551E0,1.809417095E1
2.630205500E0,-4.824784387E0,-1.667405581E1,-1.329434791E0,1.740890802E1
2.640156500E0,-3.951797722E0,-1.617627182E1,-1.357440469E0,1.670721759E1
2.650107500E0,-2.644331066E0,-1.593026425E1,-1.366916467E0,1.620599477E1
2.660058500E0,-1.086174979E0,-1.596900322E1,-1.570113204E0,1.608272662E1
