t,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,move_type
4.710466917,20.55091415,3.692970428,-6.245163116,-0.1010839567,-0.7824785113,-6.047928333,0
4.720419917,18.59433289,-0.5203179932,-5.221292267,-0.2165509313,-0.8794417381,-5.63022089,0
4.730371917,17.14833984,-4.656067657,-3.95133316,-0.1001819819,-0.9559332728,-5.267034531,0
4.740323917,15.96609833,-8.662486267,-3.016976166,0.09249399602,-1.021216393,-4.966384888,0
4.750276917,14.64045502,-11.90519302,-2.410587158,0.2440970987,-1.138529658,-4.585589409,0
4.760228917,12.80332535,-14.27012512,-2.120640106,0.3330938518,-1.269269466,-4.062972069,0
4.770180917,11.03370529,-15.22364227,-1.843715973,0.4133910835,-1.367427707,-3.449450731,0
4.780132917,9.687255249,-15.76955704,-1.452878723,0.4979118705,-1.440909505,-2.841618299,0
4.790085917,8.915609894,-16.50138519,-1.262324982,0.5601416826,-1.498470187,-2.214692593,0
4.800037917,8.476423187,-17.27437775,-1.372046814,0.6283863187,-1.535441875,-1.573396802,0
4.809989917,8.027207336,-17.81684967,-1.445843353,0.7065383792,-1.563248396,-0.9279822111,0
4.819941917,7.284152527,-17.98016006,-1.377285919,0.7996138334,-1.612798095,-0.2666013241,0
4.829894917,6.349645844,-17.77373932,-1.292711792,0.905269146,-1.685010791,0.4240343869,0
4.839846917,5.08522522,-17.54606277,-1.309776306,0.983710587,-1.820961356,1.193021417,0
4.849798917,3.572171631,-17.24264374,-1.469045105,0.970641911,-1.995692968,2.127133608,0
4.859751917,1.916913757,-16.81273773,-1.891316986,0.8778242469,-2.068732262,3.269768715,0
4.869703917,0.5522016907,-16.30559235,-2.231110382,0.7618185878,-1.950557947,4.583411694,0
4.879655917,0.01077758789,-15.56747726,-2.155517578,0.6307646036,-1.707802057,6.008622169,0
4.889607917,0.7566764832,-14.38927734,-1.921853485,0.4307676256,-1.401054144,7.37083149,0
4.899560917,3.473526764,-12.29333588,-2.140399017,0.1734159738,-1.016128063,8.471343994,0
4.909512917,7.760162659,-9.053622894,-2.730172577,-0.09591510147,-0.6932578683,9.256734848,0
4.919464917,12.67040176,-4.564907227,-3.22474411,-0.278208673,-0.3196148276,9.618048668,0
4.929416917,17.98749481,1.341510315,-3.447181549,-0.442869544,0.1157893687,9.419852257,0
4.939369917,23.31970642,8.042325897,-3.457210693,-0.6305964589,0.721611619,8.770032883,0
4.949321917,27.22239075,16.72576859,-3.434308319,-0.8247318268,1.060631514,8.209115982,0
4.959273917,26.65611832,26.31587585,-2.339784393,-1.192998052,0.6703452468,7.712014675,0
4.969225917,24.40809311,35.09721497,-1.303339691,-1.719789147,0.2332800478,6.875895977,0
4.979178917,22.67664368,40.13798264,-1.614243164,-2.271425486,0.07507062703,5.936583042,0
4.989130917,20.2290834,44.33779907,-0.5287005615,-2.494170427,0.3445588052,5.002076149,0
4.999082917,17.51687347,47.73438583,3.192411346,-2.28524518,0.7340285182,3.917202711,0
5.009034917,14.62578552,48.67532913,6.783892822,-1.867285252,0.9202362299,2.75724864,0
5.018987917,11.01589233,48.55288376,8.311915283,-1.670658231,0.9647911787,1.646825552,0
5.028939917,7.28969101,47.51823532,7.385342102,-1.816392779,1.170900941,0.5650552511,0
5.038891917,4.730762329,44.61187912,5.037324829,-1.989139557,1.427677393,-0.5420734882,0
5.048843917,3.053200836,40.37778397,4.225562897,-1.914267659,1.677212834,-1.540995955,0
5.058796917,0.969533844,35.21876221,4.866679688,-1.487891316,1.903664231,-2.377164841,0
5.068748917,-1.053658905,29.79134857,5.916296997,-0.7540618777,2.134933949,-3.06171298,0
5.078700917,-2.38109848,24.37950256,6.632707214,0.09102232009,2.471149921,-3.506293058,0
5.088652917,-3.235222321,19.95126114,6.249204712,0.8934229016,2.994229555,-3.883745193,0
5.098605917,-1.910477142,16.45079041,4.070186005,1.438544512,3.324741125,-4.353877068,0
5.108557917,0.9174421692,13.77360764,0.2396516418,1.713796377,3.303520679,-4.866407871,0
5.118509917,3.734583893,11.62407761,-3.982767792,1.715473413,2.621016741,-5.333150387,0
